🔍 Listando clases relacionadas con 'SendRequests' o 'Friend'...
🗂 Assembly: Takasho.dll | Namespace:  | Clase: SendRequestsV1Requester
🗂 Assembly: Takasho.dll | Namespace: Takasho.Endpoint.LettuceServer.PlayerApi | Clase: Friend
🗂 Assembly: Takasho.dll | Namespace:  | Clase: GetFriendsV1Requester
🗂 Assembly: Takasho.dll | Namespace:  | Clase: SendRequestsRequester
🗂 Assembly: Takasho.dll | Namespace: Takasho.Endpoint.LettuceDebugServer.Debug | Clase: Friend
🗂 Assembly: Takasho.dll | Namespace: Takasho.Schema.LettuceDebugServer.Debug | Clase: FriendAdd
🗂 Assembly: Takasho.dll | Namespace: Takasho.Schema.LettuceDebugServer.Debug | Clase: FriendAddExisting
🗂 Assembly: Takasho.dll | Namespace: Takasho.Schema.LettuceDebugServer.Debug | Clase: FriendSendRequests
🗂 Assembly: Takasho.dll | Namespace: Takasho.Schema.LettuceDebugServer.Debug | Clase: FriendApproveRequests
🗂 Assembly: Takasho.dll | Namespace: Takasho.Schema.LettuceDebugServer.Debug | Clase: FriendCancelRequests
🗂 Assembly: Takasho.dll | Namespace: Takasho.Schema.LettuceDebugServer.Debug | Clase: FriendRejectRequests
🗂 Assembly: Takasho.dll | Namespace:  | Clase: FriendClient
🗂 Assembly: Takasho.dll | Namespace: Takasho.Schema.LettuceDebugServer.Debug | Clase: Friend
🗂 Assembly: Takasho.dll | Namespace: Takasho.Schema.LettuceServer.Resource.Friend | Clase: FriendReflection
🗂 Assembly: Takasho.dll | Namespace: Takasho.Schema.LettuceServer.Resource.Friend | Clase: FriendStatus
🗂 Assembly: Takasho.dll | Namespace: Takasho.Schema.LettuceServer.Resource.Friend | Clase: Friend
🗂 Assembly: Takasho.dll | Namespace: Takasho.Schema.LettuceServer.Resource.Friend | Clase: FriendRequest
🗂 Assembly: Takasho.dll | Namespace: Takasho.Schema.LettuceServer.Resource.Friend | Clase: SearchResult
🗂 Assembly: Takasho.dll | Namespace: Takasho.Schema.LettuceServer.PlayerApi | Clase: FriendReflection
🗂 Assembly: Takasho.dll | Namespace: Takasho.Schema.LettuceServer.PlayerApi | Clase: FriendListV1
🗂 Assembly: Takasho.dll | Namespace: Takasho.Schema.LettuceServer.PlayerApi | Clase: FriendSendRequestsV1
🗂 Assembly: Takasho.dll | Namespace: Takasho.Schema.LettuceServer.PlayerApi | Clase: FriendCancelSentRequestsV1
🗂 Assembly: Takasho.dll | Namespace: Takasho.Schema.LettuceServer.PlayerApi | Clase: FriendApproveRequestV1
🗂 Assembly: Takasho.dll | Namespace: Takasho.Schema.LettuceServer.PlayerApi | Clase: FriendRejectRequestsV1
🗂 Assembly: Takasho.dll | Namespace: Takasho.Schema.LettuceServer.PlayerApi | Clase: FriendDeleteV1
🗂 Assembly: Takasho.dll | Namespace: Takasho.Schema.LettuceServer.PlayerApi | Clase: FriendSearchV1
🗂 Assembly: Takasho.dll | Namespace: Takasho.Schema.LettuceServer.PlayerApi | Clase: TradeGetFriendsV1
🗂 Assembly: Takasho.dll | Namespace:  | Clase: FriendClient
🗂 Assembly: Takasho.dll | Namespace: Takasho.Schema.LettuceServer.PlayerApi | Clase: Friend
🗂 Assembly: Lettuce.Presentation.Activity.Common.Dialog.dll | Namespace:  | Clase: <FriendCancelAsync>d__14
🗂 Assembly: Lettuce.Presentation.Activity.Common.Dialog.dll | Namespace:  | Clase: <FriendRequestAsync>d__13
🗂 Assembly: Lettuce.Presentation.Activity.Common.Dialog.dll | Namespace:  | Clase: <ShowFriendRequestErrorAsync>d__16
🗂 Assembly: Lettuce.Presentation.Activity.Common.Dialog.dll | Namespace:  | Clase: <Lettuce-Presentation-Activity-Common-ITipTransaction-FriendCancelAsync>d__21
🗂 Assembly: Lettuce.Presentation.Activity.Common.Dialog.dll | Namespace:  | Clase: <Lettuce-Presentation-Activity-Common-ITipTransaction-FriendRequestAsync>d__20
🗂 Assembly: Lettuce.Presentation.Activity.Common.Dialog.dll | Namespace:  | Clase: <Lettuce-Presentation-Activity-Common-ITipTransaction-ShowFriendRequestErrorAsync>d__23
🗂 Assembly: Lettuce.Presentation.Activity.Common.Dialog.dll | Namespace:  | Clase: <Lettuce-Presentation-Common-Presenter-IFriendRequestErrorPresenterTransaction-OnPositiveButtonCloseAsync>d__24
🗂 Assembly: System.Runtime.Serialization.dll | Namespace: System.Runtime.CompilerServices | Clase: FriendAccessAllowedAttribute
🗂 Assembly: Lettuce.Dto.MasterData.dll | Namespace: Lettuce.Muscle | Clase: PlayerFriendData
🗂 Assembly: Lettuce.Dto.MasterData.dll | Namespace: Lettuce.Muscle | Clase: FriendFeatureSetting
🗂 Assembly: Lettuce.Dto.MasterData.dll | Namespace: Lettuce.Muscle | Clase: FriendFeatureSettingKey
🗂 Assembly: Lettuce.Dto.MasterData.dll | Namespace: Lettuce.Dto.MasterData.Storage.Table | Clase: PlayerFriendDataTable
🗂 Assembly: Lettuce.Dto.MasterData.dll | Namespace: Lettuce.Dto.MasterData.Formatters.Lettuce.Muscle | Clase: FriendFeatureSettingFormatter
🗂 Assembly: Lettuce.Dto.MasterData.dll | Namespace: Lettuce.Dto.MasterData.Formatters.Lettuce.Muscle | Clase: FriendFeatureSettingKeyFormatter
🗂 Assembly: Lettuce.Dto.MasterData.dll | Namespace: Lettuce.Dto.MasterData.Formatters.Lettuce.Muscle | Clase: PlayerFriendDataFormatter
🗂 Assembly: Lettuce.Dto.MasterData.dll | Namespace: Lettuce.Dto.MasterData.Tables | Clase: FriendFeatureSettingTable
🗂 Assembly: Lettuce.Domain.Common.dll | Namespace: Lettuce.Domain.Common | Clase: IFriendFeatureSettingRepository
🗂 Assembly: Lettuce.Domain.Common.dll | Namespace: Lettuce.Domain.Common | Clase: PlayerFriendDataId
🗂 Assembly: Lettuce.Domain.Common.dll | Namespace: Lettuce.Domain.Common | Clase: FriendFeatureSettingId
🗂 Assembly: Lettuce.Domain.Common.dll | Namespace: Lettuce.Domain.Common | Clase: FriendFeatureSettingEntity
🗂 Assembly: Lettuce.Domain.Common.dll | Namespace: Lettuce.Domain.Common | Clase: IPlayerFriendDataRepository
🗂 Assembly: Lettuce.Domain.Common.dll | Namespace: Lettuce.Domain.Common | Clase: PlayerFriendDataEntity
🗂 Assembly: Lettuce.Domain.Common.dll | Namespace: Lettuce.Domain.Common | Clase: FeedSendFriendCancelResult
🗂 Assembly: Lettuce.Domain.Common.dll | Namespace: Lettuce.Domain.Common | Clase: FeedSendFriendRequestResult
🗂 Assembly: Lettuce.Domain.Common.dll | Namespace: Lettuce.Domain.Common | Clase: FriendData
